没有手机电池电量显示的图标 |-| 没有,手机,电池电量,显示,的,图标
唐门丹药，应有提升 |-| 唐门,丹药,，,应有,提升
充完钱了不给元宝怎么回事，求解释，求补偿
 |-| 充完,钱,了,不,给,元宝,怎么回事,，,求,解释,，,求,补偿,

5.12.8点40失误操作，不小心把木婉清美人合成了美人碎片 |-| 5.12,.,8,点,40,失误,操作,，,不,小心,把,木婉清,美人,合成,了,美人,碎片
小怪打一下1万多血，比电脑上的还坑 |-| 小怪,打,一下,1,万多,血,，,比,电脑,上,的,还,坑
摇一摇摇一摇 |-| 摇一,摇摇,一摇
比我去了会 |-| 比,我,去,了,会
比我去了会 |-| 比,我,去,了,会
昨天不小心把4千多张美人转化符点出售了请客服核查 |-| 昨天,不,小心,把,4,千多,张美人,转化,符点,出售,了,请客,服,核查
还可以有意思 |-| 还,可以,有意思
怎么冲1元怎么充不进去
  |-| 怎么,冲,1,元,怎么,充不,进去,
, 
大理淑妃操作不当，丢弃 |-| 大理,淑,妃,操作,不当,，,丢弃
战力显示异常 排行榜显示异常 |-| 战力,显示,异常, ,排行榜,显示,异常
一群脑残借光做的手游，创新没有，水平烂到死，国内就你们最差，问题到处都是。这么出名的小说这么好的题材让这些脑残策划做的简单是堆狗屎，脱离这题材你们就是个屁。 |-| 一群,脑残,借光,做,的,手游,，,创新,没有,，,水平,烂,到,死,，,国内,就,你们,最差,，,问题,到处,都,是,。,这么,出名,的,小说,这么,好,的,题材,让,这些,脑残,策划,做,的,简单,是,堆,狗屎,，,脱离,这,题材,你们,就是,个,屁,。
废物，就想揍你们。 |-| 废物,，,就,想,揍,你们,。
刷个恶人，怪都看不见， |-| 刷个,恶人,，,怪,都,看不见,，
服务器还能在卡点吗。打藏经阁卡。打恶人卡。抢矿卡。还让玩吗？打别的游戏很正常 |-| 服务器,还,能,在,卡点,吗,。,打,藏经阁,卡,。,打,恶人,卡,。,抢,矿卡,。,还,让,玩,吗,？,打,别的,游戏,很,正常
，，，，，
 |-| ，,，,，,，,，,

唐门单挑太强了，这样其他门派在比赛中很少能赢，不平衡。会导致唐门天山人数过多其他门派弱势。这样会导致很多人不想玩了，退游，因为辛辛苦苦练的号还打不过一个低自己很多战力的唐门，和天山 |-| 唐门,单挑,太强,了,，,这样,其他,门派,在,比赛,中,很少,能,赢,，,不,平衡,。,会,导致,唐门,天山,人数,过多,其他,门派,弱势,。,这样,会,导致,很多,人,不想,玩,了,，,退游,，,因为,辛辛苦苦,练,的,号,还,打,不过,一个,低,自己,很多,战力,的,唐门,，,和,天山
很好很经典 |-| 很,好,很,经典
凝碧丹吆喝不了 |-| 凝碧丹,吆喝,不了
凝碧丹吆喝不了 |-| 凝碧丹,吆喝,不了
好卡啊  WIFI 4G流量都卡得很 怎么玩
 |-| 好卡,啊, , ,WIFI, ,4G,流量,都,卡得,很, ,怎么,玩,

2级会员给的钟灵哪去了？ |-| 2,级,会员,给,的,钟灵,哪,去,了,？
啦咯啦咯啦咯 |-| 啦,咯,啦,咯,啦,咯
号被盗了，现在被手机绑定了我要申诉找回 |-| 号,被盗,了,，,现在,被,手机,绑定,了,我,要,申诉,找回
卧槽。尼玛。老子做了多少次手套了。都不给橙色。草泥马。你要死是不是？

 |-| 卧槽,。,尼玛,。,老子,做,了,多少,次,手套,了,。,都,不,给,橙色,。,草泥马,。,你,要死,是不是,？,
,

怎么天山爆击这么底爆伤高了还是这么低 |-| 怎么,天山,爆击,这么,底,爆伤,高,了,还是,这么,低
副本没进去 任务无法继续 |-| 副本,没,进去, ,任务,无法,继续
五行石太少 |-| 五行,石太少
我的护符怎么回事打了这么多次了也不成功糊弄人的吧 |-| 我,的,护符,怎么回事,打,了,这么,多次,了,也,不,成功,糊弄人,的,吧
背包里的粗木帽帽是卖不掉 |-| 背包,里,的,粗木帽,帽,是,卖不掉
没有单人珍珑棋局五星通关的成就称号 |-| 没有,单人,珍珑,棋局,五星,通关,的,成就,称号
一个人在下的人 |-| 一个,人,在,下,的,人
6级宝石任务怎么作，， |-| 6,级,宝石,任务,怎么,作,，,，
@对对对反反复复发 |-| @,对,对,对,反反复复,发
出了唐门有很多门派的人退游了
 |-| 出,了,唐门,有,很多,门派,的,人,退游,了,

没有90级天山吊坠
 |-| 没有,90,级,天山,吊坠,

我是逍遥门派的能不能改改技能啊，唐门技能太高了，以后叫

我怎么玩，哪游戏就玩到头来 |-| 我,是,逍遥,门派,的,能,不能,改改,技能,啊,，,唐门,技能,太高,了,，,以后,叫,
,
,我,怎么,玩,，,哪,游戏,就,玩,到头来
我这号是手机号办的，现在手机号停机了不用了怎么办? |-| 我,这,号,是,手机号,办,的,，,现在,手机号,停机,了,不用,了,怎么办,?
洪七洪七，污染环境 |-| 洪七洪七,，,污染环境
破游戏就是太卡了 |-| 破,游戏,就是,太卡,了
不小心卖掉的东西怎么买回家 |-| 不,小心,卖掉,的,东西,怎么,买,回家
唐门千金裘时装 胡子是歪的 建议去掉。 |-| 唐门,千金,裘,时装, ,胡子,是,歪,的, ,建议,去掉,。
夫子卡战，总是有小号30以下的占点，30级小号为什么可以进武厂 |-| 夫子,卡战,，,总是,有,小号,30,以下,的,占点,，,30,级,小号,为什么,可以,进武厂
怎么回事啊 |-| 怎么回事,啊
不错，挺好玩的 |-| 不错,，,挺好玩,的
说话时间间隔给可以短点 |-| 说话,时间,间隔,给,可以,短点
我的少室山礼包不见了。 |-| 我,的,少室,山,礼包,不见,了,。
人太少了，快合区吧 |-| 人太少,了,，,快合区,吧
卡成雪花屏幕了 |-| 卡成,雪花,屏幕,了
卖元宝骗人
 |-| 卖,元宝,骗人,

我的声望不足以上榜么？你们的根据呢 |-| 我,的,声望,不足以,上榜,么,？,你们,的,根据,呢
我刚刚充值的怎么又不好使了已经显示充值成功但没到账号啊 |-| 我,刚刚,充值,的,怎么,又,不好,使,了,已经,显示,充值,成功,但,没到,账号,啊
活动太少了 |-| 活动,太少,了
这是个啥玩意嘛 |-| 这,是,个,啥,玩意,嘛
明明弄的天山童姥，怎么这样了 |-| 明明,弄,的,天山童姥,，,怎么,这样,了
为什么银行卡上钱扣了，但是钱没充上，求解 |-| 为什么,银行卡,上,钱,扣,了,，,但是,钱,没,充上,，,求解
伙伴姥姥没有了 |-| 伙伴,姥姥,没有,了
希望游戏多些创新一些副本，副本奖励翻倍一天一个 |-| 希望,游戏,多些,创新,一些,副本,，,副本,奖励,翻倍,一天,一个
哈哈哈哈哈哈 |-| 哈哈哈,哈哈哈
原地复活能不能设置个锁定，没注意就原地复活了好几次 |-| 原地,复活,能,不能,设置,个,锁定,，,没,注意,就,原地,复活,了,好,几次
今天怎么没有精钢礼包 |-| 今天,怎么,没有,精钢,礼包
语音为什么老发不出去啊 你们应该要看看了 |-| 语音,为什么,老发,不,出去,啊, ,你们,应该,要,看看,了
彷仇名字了吗 |-| 彷仇,名字,了,吗
今天一不小心把4千多张美人转换符点出售了，请，请客服帮忙补回，谢谢时间是在晚上六点半到八点半之间弄丢的，，，， |-| 今天,一不小心,把,4,千多,张美人,转换,符点,出售,了,，,请,，,请客,服,帮忙,补回,，,谢谢,时间,是,在,晚上,六点半,到,八点半,之间,弄,丢,的,，,，,，,，
朮髓核实话 |-| 朮,髓,核实,话
不是说百分百触发皇宫任务吗？怎么我今天没触发皇宫任务 |-| 不是,说,百分百,触发,皇宫,任务,吗,？,怎么,我,今天,没,触发,皇宫,任务
逍遥职业为啥没晕技能 |-| 逍遥,职业,为啥,没晕,技能
给我出个橙色手套，g.m谢谢，别这么坑，，姥姥9.点做 |-| 给,我,出个,橙色,手套,，,g,.,m,谢谢,，,别,这么,坑,，,，,姥姥,9,.,点,做
能不能把那个炼狱少室山还有雁门关的称号，时间叠加起来 |-| 能,不能,把,那个,炼狱,少室,山,还有,雁门关,的,称号,，,时间,叠加,起来
